Device ID,time_stamp,kWh,Power,Cumul kWh,,Device ID,time_stamp,kWh,Power,Cumul kWh,,kWh Sum,W Sum
522,2016-03-30 05:00:00-07:00,0.0294188,29.4188,3.3191359,,523,2016-03-30 05:00:00-07:00,0.05107518,51.07518,6.02247799,,0.08049398,80.49398
522,2016-03-30 06:00:00-07:00,0.03528092,35.28092,3.35441682,,523,2016-03-30 06:00:00-07:00,0.05363978,53.63978,6.07611777,,0.0889207,88.9207
522,2016-03-30 07:00:00-07:00,0.02728433,27.28433,3.38170115,,523,2016-03-30 07:00:00-07:00,0.05386697,53.86697,6.12998474,,0.0811513,81.1513
522,2016-03-30 08:00:00-07:00,0.02714923,27.14923,3.40885038,,523,2016-03-30 08:00:00-07:00,0.05351001,53.51001,6.18349475,,0.08065924,80.65924
522,2016-03-30 09:00:00-07:00,0.02678242,26.78242,3.4356328,,523,2016-03-30 09:00:00-07:00,0.05236473,52.36473,6.23585948,,0.07914715,79.14715
522,2016-03-30 10:00:00-07:00,0.02747036,27.47036,3.46310316,,523,2016-03-30 10:00:00-07:00,0.05363817,53.63817,6.28949765,,0.08110853,81.10853
522,2016-03-30 11:00:00-07:00,0.02795645,27.95645,3.49105961,,523,2016-03-30 11:00:00-07:00,0.05323346,53.23346,6.34273111,,0.08118991,81.18991
522,2016-03-30 12:00:00-07:00,0.02680984,26.80984,3.51786945,,523,2016-03-30 12:00:00-07:00,0.05140498,51.40498,6.39413609,,0.07821482,78.21482
522,2016-03-30 13:00:00-07:00,0.02836147,28.36147,3.54623092,,523,2016-03-30 13:00:00-07:00,0.05348173,53.48173,6.44761782,,0.0818432,81.8432
522,2016-03-30 14:00:00-07:00,0.02710103,27.10103,3.57333195,,523,2016-03-30 14:00:00-07:00,0.05198514,51.98514,6.49960296,,0.07908617,79.08617
522,2016-03-30 15:00:00-07:00,0.02736133,27.36133,3.60069328,,523,2016-03-30 15:00:00-07:00,0.05329111,53.29111,6.55289407,,0.08065244,80.65244
522,2016-03-30 16:00:00-07:00,0.02748697,27.48697,3.62818025,,523,2016-03-30 16:00:00-07:00,0.05233141,52.33141,6.60522548,,0.07981838,79.81838
522,2016-03-30 17:00:00-07:00,0.02733614,27.33614,3.65551639,,523,2016-03-30 17:00:00-07:00,0.05314671,53.14671,6.65837219,,0.08048285,80.48285
522,2016-03-30 18:00:00-07:00,0.02989859,29.89859,3.68541498,,523,2016-03-30 18:00:00-07:00,0.052088,52.088,6.71046019,,0.08198659,81.98659
522,2016-03-30 19:00:00-07:00,0.02851334,28.51334,3.71392832,,523,2016-03-30 19:00:00-07:00,0.05232676,52.32676,6.76278695,,0.0808401,80.8401
522,2016-03-30 20:00:00-07:00,0.02741015,27.41015,3.74133847,,523,2016-03-30 20:00:00-07:00,0.0537602,53.7602,6.81654715,,0.08117035,81.17035
522,2016-03-30 21:00:00-07:00,0.02897311,28.97311,3.77031158,,523,2016-03-30 21:00:00-07:00,0.05255602,52.55602,6.86910317,,0.08152913,81.52913
522,2016-03-30 22:00:00-07:00,0.02850419,28.50419,3.79881577,,523,2016-03-30 22:00:00-07:00,0.05338873,53.38873,6.9224919,,0.08189292,81.89292
522,2016-03-30 23:00:00-07:00,0.02714608,27.14608,3.82596185,,523,2016-03-30 23:00:00-07:00,0.0534611,53.4611,6.975953,,0.08060718,80.60718
522,2016-03-31 00:00:00-07:00,0.02729697,27.29697,3.85325882,,523,2016-03-31 00:00:00-07:00,0.05317064,53.17064,7.02912364,,0.08046761,80.46761
522,2016-03-31 01:00:00-07:00,0.02662097,26.62097,3.87987979,,523,2016-03-31 01:00:00-07:00,0.05222654,52.22654,7.08135018,,0.07884751,78.84751
522,2016-03-31 02:00:00-07:00,0.0269904,26.9904,3.90687019,,523,2016-03-31 02:00:00-07:00,0.05205328,52.05328,7.13340346,,0.07904368,79.04368
522,2016-03-31 03:00:00-07:00,0.02684208,26.84208,3.93371227,,523,2016-03-31 03:00:00-07:00,0.05215012,52.15012,7.18555358,,0.0789922,78.9922
522,2016-03-31 04:00:00-07:00,0.02681881,26.81881,3.96053108,,523,2016-03-31 04:00:00-07:00,0.05205569,52.05569,7.23760927,,0.0788745,78.8745
522,2016-03-31 05:00:00-07:00,0.03025398,30.25398,3.99078506,,523,2016-03-31 05:00:00-07:00,0.05165508,51.65508,7.28926435,,0.08190906,81.90906
522,2016-03-31 06:00:00-07:00,0.03105923,31.05923,4.02184429,,523,2016-03-31 06:00:00-07:00,0.05152121,51.52121,7.34078556,,0.08258044,82.58044
522,2016-03-31 07:00:00-07:00,0.02679937,26.79937,4.04864366,,523,2016-03-31 07:00:00-07:00,0.05326766,53.26766,7.39405322,,0.08006703,80.06703
522,2016-03-31 08:00:00-07:00,0.02664143,26.64143,4.07528509,,523,2016-03-31 08:00:00-07:00,0.05360137,53.60137,7.44765459,,0.0802428,80.2428
